TransactionID,Date,Time,DayOfWeek,MonthName,ItemSold,QuantitySold,MetalType,Weight,Cost,Profit,DiscountApplied,SalePrice,ProfitMarginPercentage,PaymentMethod,CustomerID,Age,Gender,SalesAssociate
TRX000013,2024-01-02,18:18:16,Tuesday,January,Ring,1,Silver,6.69,5.69,17.07,0.60,16.46,189.279438,Card,CUST00129,47,Male,Chilli
TRX000014,2024-01-02,10:10:17,Tuesday,January,Necklace,1,Silver,10.52,8.94,26.83,1.39,25.45,184.675615,Cash,CUST00076,50,Female,Chilli
TRX000015,2024-01-02,11:24:10,Tuesday,January,Pendant,1,Silver,10.69,9.09,27.27,0.98,26.29,189.218922,Card,CUST00409,30,"Prefer not to say",Olivia
TRX000016,2024-01-02,13:07:43,Tuesday,January,Chain,2,Silver,11.91,10.13,30.38,1.25,58.25,475.024679,Cash,CUST00217,46,"Prefer not to say",Chilli
TRX000017,2024-01-02,11:11:01,Tuesday,January,Earrings,3,Silver,1.53,1.30,3.89,0.16,11.20,761.538462,Cash,CUST00235,48,Non-binary,Chilli
TRX000018,2024-01-02,11:39:37,Tuesday,January,Ring,1,Silver,4.39,3.73,11.20,0.60,10.60,184.182306,Cash,CUST00263,29,Female,Joseph
TRX000019,2024-01-02,12:28:53,Tuesday,January,Ring,1,Silver,2.63,2.24,6.71,0.17,6.54,191.964286,Card,CUST00368,69,Male,Joseph
TRX000020,2024-01-02,19:16:23,Tuesday,January,Pendant,1,Silver,7.32,6.22,18.66,1.12,17.54,181.993569,Card,CUST00414,37,Female,Joseph
TRX000021,2024-01-02,11:24:38,Tuesday,January,Ring,1,Silver,4.63,3.93,11.80,0.66,11.14,183.460560,Cash,CUST00198,41,Non-binary,Chilli
TRX000022,2024-01-02,15:23:57,Tuesday,January,Ring,1,Silver,3.81,3.24,9.71,0.31,9.40,190.123457,Cash,CUST00242,38,"Prefer not to say",Chilli
TRX000023,2024-01-02,09:56:12,Tuesday,January,Pendant,1,Silver,4.99,4.24,12.71,0.71,12.00,183.018868,Cash,CUST00157,51,"Prefer not to say",Joseph
TRX000024,2024-01-02,09:22:17,Tuesday,January,Necklace,3,Silver,3.17,2.69,8.08,0.37,23.14,760.223048,Card,CUST00435,18,Male,Habib
TRX000025,2024-01-03,11:38:36,Wednesday,January,Earrings,1,Silver,2.99,2.54,7.61,0.41,7.21,183.858268,Cash,CUST00033,50,Female,Chilli
TRX000026,2024-01-03,12:17:14,Wednesday,January,Pendant,1,"22kt Gold",4.81,324.27,486.41,26.73,459.68,41.758411,Cash,CUST00216,49,Male,Chilli
TRX000027,2024-01-03,15:56:22,Wednesday,January,Ring,2,Silver,4.18,3.55,10.66,0.67,19.97,462.535211,Cash,CUST00494,48,Non-binary,Joseph
TRX000028,2024-01-03,17:55:57,Wednesday,January,Earrings,1,Silver,2.17,1.84,5.52,0.22,5.30,188.043478,Cash,CUST00214,32,Male,Chilli
TRX000029,2024-01-03,15:03:18,Wednesday,January,Necklace,1,Silver,7.36,6.25,18.76,0.59,18.16,190.560000,Cash,CUST00493,40,"Prefer not to say",Habib
TRX000030,2024-01-03,15:49:19,Wednesday,January,Necklace,1,Silver,11.90,10.12,30.36,0.86,29.49,191.403162,Cash,CUST00032,42,Female,Habib
TRX000031,2024-01-03,11:26:48,Wednesday,January,Ring,1,Silver,6.97,5.93,17.78,1.23,16.55,179.089376,Card,CUST00204,28,Non-binary,Habib
TRX000032,2024-01-03,12:08:35,Wednesday,January,Earrings,1,Silver,1.62,1.37,4.12,0.19,3.93,186.861314,Cash,CUST00245,18,Non-binary,Chilli
TRX000033,2024-01-03,18:02:52,Wednesday,January,Earrings,1,Silver,1.39,1.18,3.53,0.18,3.35,183.898305,Card,CUST00318,43,Male,Olivia
TRX000034,2024-01-03,16:41:48,Wednesday,January,Chain,1,Silver,20.66,17.57,52.70,3.03,49.67,182.697780,Cash,CUST00068,53,Non-binary,Joseph
TRX000035,2024-01-03,12:49:10,Wednesday,January,Necklace,1,Silver,3.02,2.57,7.71,0.44,7.27,182.879377,Card,CUST00461,54,"Prefer not to say",Olivia
TRX000036,2024-01-03,10:18:02,Wednesday,January,Ring,1,Silver,3.65,3.11,9.32,0.48,8.83,183.922830,Card,CUST00072,44,Female,Habib
TRX000037,2024-01-03,18:47:45,Wednesday,January,Earrings,1,Silver,1.06,0.90,2.71,0.17,2.54,182.222222,Cash,CUST00118,47,Non-binary,Olivia
TRX000038,2024-01-03,17:48:36,Wednesday,January,Pendant,1,Silver,8.36,7.11,21.33,1.07,20.26,184.950774,Card,CUST00080,52,Male,Olivia
TRX000039,2024-01-03,18:31:44,Wednesday,January,Ring,1,Silver,1.53,1.30,3.89,0.19,3.70,184.615385,Card,CUST00008,40,"Prefer not to say",Olivia
TRX000040,2024-01-03,12:40:48,Wednesday,January,Chain,1,Silver,21.30,18.10,54.30,3.67,50.63,179.723757,Cash,CUST00447,41,Male,Joseph
TRX000041,2024-01-03,17:51:35,Wednesday,January,Bracelet,1,Silver,23.64,20.09,60.28,4.27,56.01,178.795421,Cash,CUST00268,55,Non-binary,Joseph
TRX000042,2024-01-03,17:02:54,Wednesday,January,Necklace,1,Silver,7.86,6.68,20.05,1.09,18.96,183.832335,Card,CUST00306,47,Non-binary,Habib
TRX000043,2024-01-03,19:21:53,Wednesday,January,Pendant,1,Silver,10.10,8.58,25.75,1.46,24.29,183.100233,Cash,CUST00095,34,"Prefer not to say",Chilli
TRX000044,2024-01-03,17:58:26,Wednesday,January,Chain,1,Silver,14.69,12.48,37.45,1.69,35.76,186.538462,Cash,CUST00283,40,Non-binary,Olivia
TRX000045,2024-01-03,18:26:37,Wednesday,January,Pendant,1,Silver,10.83,9.20,27.61,1.66,25.94,181.956522,Cash,CUST00497,34,"Prefer not to say",Olivia
TRX000046,2024-01-03,18:03:51,Wednesday,January,Ring,1,Silver,3.56,3.02,9.07,0.48,8.59,184.437086,Card,CUST00238,41,"Prefer not to say",Olivia
TRX000047,2024-01-03,12:38:00,Wednesday,January,Earrings,1,Silver,2.12,1.80,5.40,0.41,4.99,177.222222,Cash,CUST00170,28,Male,Joseph
TRX000048,2024-01-03,18:26:58,Wednesday,January,Earrings,1,Silver,2.34,1.99,5.98,0.34,5.63,182.914573,Card,CUST00364,33,Female,Habib
TRX000049,2024-01-03,16:25:56,Wednesday,January,Chain,1,Silver,22.65,19.25,57.75,2.59,55.16,186.545455,Cash,CUST00068,53,Non-binary,Habib
TRX000050,2024-01-03,14:36:25,Wednesday,January,Bracelet,1,Silver,13.58,11.55,34.64,1.37,33.27,188.051948,Card,CUST00079,41,Female,Chilli
TRX000051,2024-01-03,18:38:00,Wednesday,January,Pendant,1,Silver,8.36,7.10,21.31,1.08,20.22,184.788732,Card,CUST00480,47,Male,Olivia
TRX000052,2024-01-03,10:03:16,Wednesday,January,Chain,3,Silver,24.60,20.91,62.74,3.50,177.70,749.832616,Cash,CUST00189,44,Non-binary,Olivia
TRX000053,2024-01-03,13:52:07,Wednesday,January,Necklace,1,Silver,11.04,9.38,28.15,2.09,26.06,177.825160,Card,CUST00427,38,"Prefer not to say",Joseph
TRX000054,2024-01-03,19:10:54,Wednesday,January,Earrings,1,Silver,2.32,1.97,5.91,0.46,5.45,176.649746,Cash,CUST00313,34,Non-binary,Joseph
TRX000055,2024-01-03,10:33:05,Wednesday,January,Earrings,1,Silver,1.26,1.07,3.22,0.07,3.15,194.392523,Card,CUST00419,55,Male,Joseph
TRX000056,2024-01-03,09:44:47,Wednesday,January,Necklace,1,Silver,8.22,6.99,20.97,1.09,19.88,184.406295,Card,CUST00133,41,Male,Chilli
TRX000057,2024-01-04,19:19:26,Thursday,January,Chain,1,Silver,28.56,24.27,72.82,3.55,69.27,185.414091,Cash,CUST00115,35,Male,Habib
TRX000058,2024-01-04,10:10:32,Thursday,January,Chain,2,Silver,26.87,22.84,68.52,2.74,131.56,476.007005,Card,CUST00343,55,Female,Olivia
TRX000059,2024-01-04,14:44:59,Thursday,January,Pendant,3,Silver,10.74,9.13,27.40,1.34,78.16,756.078861,Card,CUST00492,44,"Prefer not to say",Chilli
TRX000060,2024-01-04,18:37:44,Thursday,January,Bracelet,1,Silver,21.21,18.03,54.08,1.86,52.21,189.572934,Card,CUST00134,41,Female,Olivia
TRX000061,2024-01-04,10:31:43,Thursday,January,Pendant,2,Silver,3.48,2.96,8.87,0.40,16.94,472.297297,Cash,CUST00142,38,Female,Olivia
TRX000062,2024-01-04,10:18:07,Thursday,January,Bracelet,1,Silver,19.04,16.19,48.56,0.94,47.62,194.132180,Cash,CUST00431,24,Non-binary,Habib
TRX000063,2024-01-04,16:25:52,Thursday,January,Bracelet,1,Silver,9.38,7.97,23.91,1.35,22.56,183.061481,Cash,CUST00086,51,Non-binary,Habib
TRX000064,2024-01-04,12:17:36,Thursday,January,Ring,1,Silver,1.73,1.47,4.41,0.27,4.15,182.312925,Card,CUST00334,34,Non-binary,Joseph
TRX000065,2024-01-04,09:15:57,Thursday,January,Necklace,1,Silver,4.56,3.87,11.62,0.52,11.10,186.821705,Cash,CUST00061,28,"Prefer not to say",Olivia
TRX000066,2024-01-04,10:18:17,Thursday,January,Necklace,1,Silver,9.65,8.20,24.60,0.89,23.71,189.146341,Card,CUST00308,45,Female,Chilli
TRX000067,2024-01-04,18:55:52,Thursday,January,Bracelet,1,Silver,27.20,23.12,69.35,4.91,64.44,178.719723,Cash,CUST00373,39,Female,Habib
TRX000068,2024-01-04,09:31:43,Thursday,January,Pendant,1,"24kt Gold",6.20,456.57,684.86,52.70,632.16,38.458506,Card,CUST00394,52,Female,Joseph
TRX000069,2024-01-04,10:53:08,Thursday,January,Ring,1,Silver,4.51,3.83,11.49,0.68,10.81,182.245431,Card,CUST00025,52,"Prefer not to say",Joseph
TRX000070,2024-01-04,19:53:51,Thursday,January,Ring,1,Silver,3.11,2.64,7.92,0.24,7.68,190.909091,Card,CUST00489,31,Female,Olivia
TRX000071,2024-01-04,19:04:49,Thursday,January,Earrings,1,Silver,2.16,1.83,5.50,0.24,5.26,187.431694,Cash,CUST00199,47,Non-binary,Olivia
TRX000072,2024-01-04,19:14:14,Thursday,January,Pendant,1,Silver,3.19,2.71,8.13,0.38,7.74,185.608856,Cash,CUST00086,51,Non-binary,Olivia
TRX000073,2024-01-04,16:24:52,Thursday,January,Earrings,1,Silver,2.27,1.93,5.78,0.36,5.42,180.829016,Card,CUST00033,50,Female,Olivia
TRX000074,2024-01-04,13:33:13,Thursday,January,Bracelet,2,Silver,26.92,22.88,68.63,2.81,131.64,475.349650,Card,CUST00180,35,Male,Olivia
TRX000075,2024-01-04,10:20:29,Thursday,January,Necklace,2,Silver,9.58,8.14,24.43,0.81,47.23,480.221130,Card,CUST00063,30,Non-binary,Joseph
TRX000076,2024-01-04,14:49:22,Thursday,January,Ring,1,Silver,1.70,1.45,4.34,0.15,4.19,188.965517,Cash,CUST00179,27,Male,Joseph
TRX000077,2024-01-04,13:11:15,Thursday,January,Bracelet,1,Silver,17.02,14.47,43.40,2.39,41.02,183.483068,Card,CUST00327,41,"Prefer not to say",Olivia
TRX000078,2024-01-04,14:41:08,Thursday,January,Chain,3,Silver,20.43,17.36,52.09,2.00,150.27,765.610599,Card,CUST00197,43,Female,Joseph
TRX000079,2024-01-04,18:06:22,Thursday,January,Necklace,1,Silver,14.57,12.39,37.16,1.50,35.66,187.812752,Cash,CUST00240,47,Male,Habib
TRX000080,2024-01-04,10:39:45,Thursday,January,Bracelet,1,Silver,14.60,12.41,37.24,1.20,36.04,190.410959,Card,CUST00124,43,Non-binary,Habib
TRX000081,2024-01-04,17:25:54,Thursday,January,Earrings,1,Silver,1.70,1.45,4.34,0.25,4.10,182.758621,Cash,CUST00305,38,"Prefer not to say",Olivia
TRX000082,2024-01-04,13:59:37,Thursday,January,Bracelet,1,Silver,8.30,7.06,21.17,0.77,20.39,188.810198,Cash,CUST00011,47,Female,Olivia
TRX000083,2024-01-04,19:20:06,Thursday,January,Ring,2,Silver,6.24,5.31,15.92,0.78,30.28,470.244821,Card,CUST00481,45,Female,Joseph
TRX000084,2024-01-04,14:05:06,Thursday,January,Bracelet,1,Silver,27.85,23.68,71.03,4.58,66.45,180.616554,Cash,CUST00253,43,Male,Habib
TRX000085,2024-01-05,19:04:19,Friday,January,Ring,3,"14kt Gold",6.78,291.03,436.55,23.22,1239.97,326.062605,Card,CUST00335,36,Male,Chilli
TRX000086,2024-01-05,13:45:24,Friday,January,Necklace,1,Silver,13.85,11.77,35.32,1.71,33.60,185.471538,Cash,CUST00003,43,"Prefer not to say",Olivia
TRX000087,2024-01-05,16:51:57,Friday,January,Necklace,1,Silver,13.68,11.63,34.89,1.22,33.67,189.509888,Cash,CUST00114,50,Male,Joseph
TRX000088,2024-01-05,13:17:26,Friday,January,Earrings,1,Silver,2.47,2.10,6.31,0.50,5.80,176.190476,Cash,CUST00368,69,Male,Joseph
TRX000089,2024-01-05,19:29:32,Friday,January,Earrings,1,Silver,2.49,2.12,6.36,0.22,6.14,189.622642,Card,CUST00159,38,Non-binary,Habib
TRX000090,2024-01-05,09:03:43,Friday,January,Bracelet,1,Silver,18.39,15.63,46.88,1.73,45.15,188.867562,Cash,CUST00435,18,Male,Joseph
TRX000091,2024-01-05,19:18:17,Friday,January,Ring,1,Silver,1.45,1.24,3.71,0.12,3.59,189.516129,Card,CUST00159,38,Non-binary,Joseph
TRX000092,2024-01-05,17:16:57,Friday,January,Chain,1,Silver,11.64,9.90,29.69,1.26,28.43,187.171717,Cash,CUST00373,39,Female,Olivia
TRX000093,2024-01-05,19:58:02,Friday,January,Necklace,1,Silver,13.44,11.43,34.28,2.04,32.24,182.064742,Card,CUST00009,56,Non-binary,Olivia
TRX000094,2024-01-05,19:06:35,Friday,January,Pendant,1,Silver,9.15,7.78,23.33,1.28,22.05,183.419023,Cash,CUST00378,28,Male,Olivia
TRX000095,2024-01-05,15:58:14,Friday,January,Chain,1,Silver,27.25,23.16,69.49,2.39,67.10,189.723661,Cash,CUST00277,50,Male,Joseph
TRX000096,2024-01-05,10:12:04,Friday,January,Ring,1,Silver,3.49,2.97,8.90,0.44,8.46,184.848485,Card,CUST00181,49,Non-binary,Chilli
TRX000097,2024-01-05,17:33:44,Friday,January,Pendant,1,Silver,2.59,2.20,6.60,0.23,6.37,189.545455,Cash,CUST00179,27,Male,Chilli
TRX000098,2024-01-05,14:29:00,Friday,January,Chain,1,Silver,19.82,16.84,50.53,2.43,48.10,185.629454,Cash,CUST00482,48,Male,Olivia
TRX000099,2024-01-05,11:50:00,Friday,January,Chain,1,Silver,22.88,19.45,58.35,3.30,55.05,183.033419,Cash,CUST00068,53,Non-binary,Chilli
TRX000100,2024-01-05,19:38:08,Friday,January,Chain,1,Silver,26.26,22.32,66.95,4.39,62.56,180.286738,Card,CUST00112,32,Male,Habib
TRX000101,2024-01-05,15:46:09,Friday,January,Chain,1,Silver,20.70,17.60,52.79,1.71,51.07,190.170455,Card,CUST00009,56,Non-binary,Joseph
TRX000102,2024-01-05,11:31:31,Friday,January,Bracelet,1,Silver,3.80,3.23,9.68,0.40,9.28,187.306502,Cash,CUST00162,47,"Prefer not to say",Joseph
TRX000103,2024-01-05,11:45:06,Friday,January,Bracelet,1,Silver,14.42,12.25,36.76,1.46,35.31,188.244898,Card,CUST00448,45,Female,Habib
TRX000104,2024-01-05,15:18:13,Friday,January,Bracelet,1,Silver,22.84,19.41,58.24,3.12,55.12,183.977331,Card,CUST00148,34,Male,Olivia
TRX000105,2024-01-05,15:47:07,Friday,January,Chain,3,Silver,11.17,9.50,28.49,1.65,80.52,747.578947,Card,CUST00491,53,Male,Olivia
TRX000106,2024-01-05,14:20:14,Friday,January,Chain,1,Silver,19.23,16.34,49.03,2.24,46.78,186.291310,Cash,CUST00225,57,Male,Olivia
TRX000107,2024-01-06,11:06:46,Saturday,January,Ring,1,Silver,1.63,1.39,4.16,0.30,3.86,177.697842,Cash,CUST00090,42,"Prefer not to say",Joseph
TRX000108,2024-01-06,14:44:44,Saturday,January,Pendant,1,Silver,6.68,5.68,17.03,0.81,16.23,185.739437,Card,CUST00242,38,"Prefer not to say",Chilli
TRX000109,2024-01-06,15:07:22,Saturday,January,Pendant,1,Silver,2.57,2.19,6.56,0.36,6.20,183.105023,Card,CUST00053,50,"Prefer not to say",Chilli
TRX000110,2024-01-06,19:44:29,Saturday,January,Chain,1,Silver,27.24,23.16,69.47,3.94,65.54,182.987910,Card,CUST00426,38,Male,Chilli
TRX000111,2024-01-06,17:25:11,Saturday,January,Earrings,3,Silver,1.89,1.61,4.83,0.20,13.90,763.354037,Cash,CUST00239,37,Non-binary,Chilli
TRX000112,2024-01-06,12:36:14,Saturday,January,Earrings,1,"22kt Gold",1.02,68.45,102.67,2.44,100.23,46.428050,Card,CUST00282,29,Male,Joseph
TRX000113,2024-01-06,18:50:40,Saturday,January,Bracelet,3,Silver,18.36,15.61,46.83,1.55,135.84,770.211403,Card,CUST00111,29,Female,Olivia
TRX000114,2024-01-06,18:44:38,Saturday,January,Earrings,3,Silver,2.54,2.16,6.48,0.42,18.20,742.592593,Card,CUST00371,42,"Prefer not to say",Olivia
TRX000115,2024-01-06,19:06:09,Saturday,January,Pendant,1,Silver,9.29,7.90,23.69,1.36,22.33,182.658228,Card,CUST00495,50,Non-binary,Habib
TRX000116,2024-01-06,19:21:43,Saturday,January,Ring,1,Silver,5.19,4.41,13.24,0.42,12.82,190.702948,Card,CUST00396,47,"Prefer not to say",Joseph
TRX000117,2024-01-06,11:55:49,Saturday,January,Bracelet,2,Silver,18.20,15.47,46.41,2.06,88.70,473.367809,Cash,CUST00371,42,"Prefer not to say",Chilli
TRX000118,2024-01-06,13:59:31,Saturday,January,Ring,1,Silver,6.04,5.13,15.40,0.90,14.49,182.456140,Card,CUST00284,37,Female,Olivia
TRX000119,2024-01-06,15:43:25,Saturday,January,Chain,1,Silver,23.15,19.68,59.04,4.15,54.89,178.912602,Card,CUST00430,50,Non-binary,Joseph
TRX000120,2024-01-06,11:34:36,Saturday,January,Pendant,1,Silver,8.03,6.82,20.47,1.05,19.42,184.750733,Cash,CUST00452,54,Male,Chilli
TRX000121,2024-01-06,14:23:40,Saturday,January,Ring,1,Silver,3.93,3.34,10.01,0.54,9.48,183.832335,Cash,CUST00221,29,Non-binary,Chilli
TRX000122,2024-01-06,17:13:04,Saturday,January,Bracelet,1,Silver,6.17,5.25,15.74,0.80,14.94,184.571429,Card,CUST00209,49,Male,Chilli
TRX000123,2024-01-06,09:10:23,Saturday,January,Earrings,1,Silver,2.96,2.51,7.54,0.52,7.03,180.079681,Card,CUST00314,33,Non-binary,Joseph
TRX000124,2024-01-06,16:06:30,Saturday,January,Bracelet,2,Silver,16.10,13.69,41.06,2.73,76.66,459.970782,Card,CUST00102,26,Female,Joseph
TRX000125,2024-01-06,15:43:24,Saturday,January,Ring,1,Silver,3.07,2.61,7.82,0.39,7.43,184.674330,Card,CUST00289,35,Non-binary,Joseph
TRX000126,2024-01-06,17:12:16,Saturday,January,Earrings,1,Silver,2.58,2.20,6.59,0.51,6.07,175.909091,Card,CUST00440,45,Female,Joseph
TRX000127,2024-01-06,12:22:40,Saturday,January,Pendant,1,Silver,11.77,10.00,30.01,0.67,29.34,193.400000,Cash,CUST00210,44,Non-binary,Chilli
TRX000128,2024-01-06,10:01:40,Saturday,January,Chain,1,Silver,12.92,10.98,32.93,1.78,31.15,183.697632,Card,CUST00029,38,"Prefer not to say",Chilli
TRX000129,2024-01-06,18:25:47,Saturday,January,Earrings,1,Silver,1.25,1.06,3.18,0.18,3.00,183.018868,Cash,CUST00337,45,"Prefer not to say",Olivia
TRX000130,2024-01-06,09:42:30,Saturday,January,Pendant,1,Silver,8.17,6.95,20.84,1.35,19.49,180.431655,Cash,CUST00122,41,"Prefer not to say",Habib
TRX000131,2024-01-06,17:32:05,Saturday,January,Pendant,1,Silver,2.55,2.17,6.51,0.33,6.19,185.253456,Card,CUST00025,52,"Prefer not to say",Chilli
TRX000132,2024-01-06,19:24:18,Saturday,January,Ring,1,Silver,1.07,0.91,2.72,0.15,2.57,182.417582,Card,CUST00225,57,Male,Habib
TRX000133,2024-01-06,14:01:01,Saturday,January,Pendant,1,Silver,5.56,4.72,14.17,0.95,13.22,180.084746,Cash,CUST00344,41,Female,Habib
TRX000134,2024-01-06,18:19:39,Saturday,January,Chain,1,Silver,26.54,22.56,67.69,2.05,65.64,190.957447,Cash,CUST00390,33,Female,Habib
TRX000135,2024-01-06,17:58:12,Saturday,January,Earrings,1,Silver,1.28,1.08,3.25,0.11,3.15,191.666667,Card,CUST00100,64,Non-binary,Habib
TRX000136,2024-01-08,09:32:46,Monday,January,Bracelet,1,Silver,24.56,20.87,62.62,2.58,60.04,187.685673,Cash,CUST00447,41,Male,Joseph
TRX000137,2024-01-08,09:42:13,Monday,January,Necklace,1,Silver,11.76,9.99,29.98,1.64,28.33,183.583584,Cash,CUST00124,43,Non-binary,Olivia
TRX000138,2024-01-08,18:23:20,Monday,January,Earrings,1,Silver,1.57,1.34,4.01,0.22,3.79,182.835821,Cash,CUST00484,34,Non-binary,Olivia
TRX000139,2024-01-08,15:28:58,Monday,January,Pendant,1,Silver,2.80,2.38,7.13,0.28,6.85,187.815126,Card,CUST00211,40,"Prefer not to say",Olivia
TRX000140,2024-01-08,10:09:40,Monday,January,Bracelet,1,Silver,18.86,16.03,48.10,1.79,46.30,188.833437,Card,CUST00011,47,Female,Olivia
TRX000141,2024-01-08,14:24:48,Monday,January,Ring,1,Silver,4.85,4.12,12.36,0.70,11.66,183.009709,Card,CUST00441,40,Male,Chilli
TRX000142,2024-01-08,11:44:31,Monday,January,Pendant,1,Silver,2.08,1.77,5.30,0.13,5.17,192.090395,Cash,CUST00120,42,Female,Chilli
TRX000143,2024-01-08,19:46:05,Monday,January,Necklace,1,Silver,10.87,9.24,27.71,1.49,26.23,183.874459,Cash,CUST00495,50,Non-binary,Chilli
TRX000144,2024-01-08,12:21:52,Monday,January,Pendant,1,Silver,9.21,7.83,23.49,1.16,22.33,185.185185,Cash,CUST00260,42,"Prefer not to say",Habib
TRX000145,2024-01-08,16:04:40,Monday,January,Chain,1,Silver,26.41,22.45,67.35,3.17,64.18,185.879733,Cash,CUST00475,45,Female,Chilli
TRX000146,2024-01-08,12:23:57,Monday,January,Bracelet,1,Silver,26.47,22.50,67.50,2.81,64.69,187.511111,Cash,CUST00173,39,Male,Chilli
TRX000147,2024-01-08,10:58:36,Monday,January,Bracelet,1,"24kt Gold",6.05,445.59,668.39,34.53,633.86,42.251846,Card,CUST00184,44,Male,Joseph
TRX000148,2024-01-08,13:18:28,Monday,January,Bracelet,1,Silver,16.66,14.16,42.47,1.49,40.98,189.406780,Card,CUST00024,50,Non-binary,Joseph
TRX000149,2024-01-08,10:12:22,Monday,January,Ring,1,Silver,6.73,5.72,17.16,0.75,16.42,187.062937,Cash,CUST00056,49,Non-binary,Olivia
TRX000150,2024-01-08,13:29:24,Monday,January,Ring,1,Silver,1.55,1.32,3.96,0.18,3.78,186.363636,Cash,CUST00376,48,Female,Olivia
TRX000151,2024-01-09,16:42:32,Tuesday,January,Necklace,1,Silver,9.82,8.35,25.04,1.20,23.85,185.628743,Cash,CUST00226,53,Female,Habib
TRX000152,2024-01-09,16:10:44,Tuesday,January,Ring,1,Silver,2.56,2.18,6.54,0.37,6.17,183.027523,Card,CUST00291,62,Female,Olivia
TRX000153,2024-01-09,15:10:37,Tuesday,January,Pendant,1,Silver,8.56,7.28,21.84,1.06,20.78,185.439560,Card,CUST00221,29,Non-binary,Habib
TRX000154,2024-01-09,10:08:54,Tuesday,January,Pendant,2,"22kt Gold",3.08,207.48,311.22,21.49,579.46,179.284750,Cash,CUST00247,24,"Prefer not to say",Joseph
TRX000155,2024-01-09,17:23:21,Tuesday,January,Chain,1,Silver,19.21,16.33,48.99,2.37,46.63,185.548071,Card,CUST00097,47,Female,Olivia
TRX000156,2024-01-09,17:13:06,Tuesday,January,Pendant,1,Silver,6.52,5.54,16.63,1.02,15.61,181.768953,Cash,CUST00137,48,Non-binary,Joseph
TRX000157,2024-01-09,16:56:36,Tuesday,January,Pendant,1,Silver,6.75,5.74,17.21,0.78,16.43,186.236934,Card,CUST00122,41,"Prefer not to say",Chilli
TRX000158,2024-01-09,09:43:03,Tuesday,January,Earrings,1,Silver,1.65,1.40,4.20,0.20,4.00,185.714286,Cash,CUST00440,45,Female,Chilli
TRX000159,2024-01-09,10:37:38,Tuesday,January,Pendant,2,Silver,2.47,2.10,6.29,0.13,12.32,486.666667,Card,CUST00257,52,Male,Chilli
TRX000160,2024-01-09,15:38:16,Tuesday,January,Necklace,1,Silver,3.29,2.80,8.40,0.47,7.92,182.857143,Card,CUST00485,63,"Prefer not to say",Habib
TRX000161,2024-01-09,19:41:07,Tuesday,January,Bracelet,1,Silver,18.56,15.78,47.33,2.16,45.17,186.248416,Cash,CUST00196,46,Female,Chilli
TRX000162,2024-01-09,14:13:29,Tuesday,January,Bracelet,1,Silver,11.49,9.77,29.30,0.68,28.62,192.937564,Card,CUST00091,18,Non-binary,Chilli
TRX000163,2024-01-09,11:09:00,Tuesday,January,Ring,1,Silver,4.91,4.17,12.52,0.50,12.01,188.009592,Cash,CUST00432,50,Male,Habib
TRX000164,2024-01-09,12:38:50,Tuesday,January,Necklace,1,Silver,5.01,4.26,12.78,0.77,12.01,181.924883,Cash,CUST00140,69,Female,Habib
